Dataset,Config,Hidden Layers,Activation,Solver,CV,CV std,Accuracy,F1,model
V2,Базовая,"(50, 25)",relu,adam,0.8239,0.0336,0.9318,0.8286,"MLPClassifier(hidden_layer_sizes=(50, 25), max_iter=1000, random_state=42)"
V2,Больше нейронов,"(100, 50)",relu,adam,0.7614,0.041,0.9943,0.9863,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
V2,Функция tanh,"(50, 25)",tanh,adam,0.7955,0.0,0.7955,0.0,"MLPClassifier(activation='tanh', hidden_layer_sizes=(50, 25), max_iter=1000,
              random_state=42)"
V2,3 скрытых слоя,"(30, 15, 10)",relu,adam,0.8011,0.067,0.9886,0.9722,"MLPClassifier(hidden_layer_sizes=(30, 15, 10), max_iter=1000, random_state=42)"
V2,Solver lbfgs,"(50, 25)",relu,lbfgs,0.7727,0.0533,1.0,1.0,"MLPClassifier(hidden_layer_sizes=(50, 25), max_iter=1000, random_state=42,
              solver='lbfgs')"
