Dataset,Config,Hidden Layers,Activation,Solver,CV,CV std,Accuracy,F1,model
V1,Больше нейронов,"(100, 50)",relu,adam,0.8295,0.0341,1.0,1.0,"MLPClassifier(hidden_layer_sizes=(100, 50), max_iter=1000, random_state=42)"
V1+V2,Базовая,"(50, 25)",relu,adam,0.858,0.067,1.0,1.0,"MLPClassifier(hidden_layer_sizes=(50, 25), max_iter=1000, random_state=42)"
V2,Solver lbfgs,"(50, 25)",relu,lbfgs,0.7727,0.0533,1.0,1.0,"MLPClassifier(hidden_layer_sizes=(50, 25), max_iter=1000, random_state=42,
              solver='lbfgs')"
